split,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
calibration,1.0,300,300,0,189,111,0.63,0.9947089947089947,0.005291005291005291,1,0.0033333333333333335,0.005291005291005291
calibration,0.9999998063873693,300,300,0,195,105,0.65,0.9948717948717949,0.005128205128205128,1,0.0033333333333333335,0.005128205128205128
calibration,0.9999996871837232,300,300,0,200,100,0.6666666666666666,0.985,0.015,3,0.01,0.015
calibration,0.9999995679801056,300,300,0,202,98,0.6733333333333333,0.9851485148514851,0.01485148514851485,3,0.01,0.01485148514851485
calibration,0.999999448776502,300,300,0,207,93,0.69,0.9758454106280193,0.024154589371980676,5,0.016666666666666666,0.024154589371980676
calibration,0.9999993295729128,300,300,0,210,90,0.7,0.9761904761904762,0.023809523809523808,5,0.016666666666666666,0.023809523809523808
calibration,0.9999992103693378,300,300,0,212,88,0.7066666666666667,0.9764150943396226,0.02358490566037736,5,0.016666666666666666,0.02358490566037736
calibration,0.999999091165777,300,300,0,213,87,0.71,0.971830985915493,0.028169014084507043,6,0.02,0.028169014084507043
calibration,0.9999989719621736,300,300,0,214,86,0.7133333333333334,0.9719626168224299,0.028037383177570093,6,0.02,0.028037383177570093
calibration,0.9999987335551229,300,300,0,215,85,0.7166666666666667,0.9720930232558139,0.027906976744186046,6,0.02,0.027906976744186046
calibration,0.9999984951481292,300,300,0,216,84,0.72,0.9722222222222222,0.027777777777777776,6,0.02,0.027777777777777776
calibration,0.9999983759447105,300,300,0,217,83,0.7233333333333334,0.9723502304147466,0.027649769585253458,6,0.02,0.027649769585253458
calibration,0.999997064707474,300,300,0,218,82,0.7266666666666667,0.9678899082568807,0.03211009174311927,7,0.023333333333333334,0.03211009174311927
calibration,0.9999961110814314,300,300,0,219,81,0.73,0.9634703196347032,0.0365296803652968,8,0.02666666666666667,0.0365296803652968
calibration,0.9999946806438453,300,300,0,221,79,0.7366666666666667,0.9592760180995475,0.04072398190045249,9,0.03,0.04072398190045249
calibration,0.9999925349917576,300,300,0,222,78,0.74,0.954954954954955,0.04504504504504504,10,0.03333333333333333,0.04504504504504504
calibration,0.9999922965859006,300,300,0,223,77,0.7433333333333333,0.9551569506726457,0.04484304932735426,10,0.03333333333333333,0.04484304932735426
