model,family_vs_unrelated_auc_lower,family_vs_unrelated_auc_upper,missing_exact_p_A,mean_intended_p_A_lower,mean_intended_p_A_upper,summed_request_seconds
qwen3.5:4b,0.9771354166666667,0.9771354166666667,0,0.730745546339925,0.730745546339925,152.43626580038108
qwen3.5:9b,0.9780989583333334,0.9780989583333334,0,0.9779987537928058,0.9779987537928058,207.38033969985554
gpt-6-sol,0.9728645833333334,0.9813802083333333,327,0.773125711813616,0.773125711813616,764.8800432995777
gemma4:12b,0.9720442708333333,0.9720442708333333,0,0.9976667626246981,0.9976667626246981,555.1250935004209
