model,temperature,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
gpt-4o-2024-08-06,0.0,0.5590813452921929,60,60,0,58,2,0.9666666666666667,0.7068965517241379,0.29310344827586204,17,0.2833333333333333,0.29310344827586204
gpt-4o-2024-08-06,0.0,0.514043057085579,60,60,0,59,1,0.9833333333333333,0.6949152542372882,0.3050847457627119,18,0.3,0.3050847457627119
gpt-4o-2024-08-06,0.0,0.4984219284419679,60,60,0,60,0,1.0,0.7,0.3,18,0.3,0.3
gpt-4o-2024-08-06,0.5,0.9999974223173038,60,60,0,1,59,0.016666666666666666,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.5,0.9999917005724162,60,60,0,3,57,0.05,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.5,0.9999891973194788,60,60,0,5,55,0.08333333333333333,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.5,0.9999876476903248,60,60,0,6,54,0.1,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.5,0.9999765619468316,60,60,0,7,53,0.11666666666666667,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.5,0.9999710787231805,60,60,0,9,51,0.15,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.5,0.9999478349491651,60,60,0,10,50,0.16666666666666666,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.5,0.9999291211297546,60,60,0,13,47,0.21666666666666667,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.5,0.9999158905424439,60,60,0,15,45,0.25,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.5,0.9999125531287093,60,60,0,17,43,0.2833333333333333,1.0,0.0,0,0.0,0.0
