method,split,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
raw_label_likelihood,calibration,1.0,300,300,0,189,111,0.63,0.9947089947089947,0.005291005291005291,1,0.0033333333333333335,0.005291005291005291
raw_label_likelihood,calibration,0.9999998063873693,300,300,0,195,105,0.65,0.9948717948717949,0.005128205128205128,1,0.0033333333333333335,0.005128205128205128
raw_label_likelihood,calibration,0.9999996871837232,300,300,0,200,100,0.6666666666666666,0.985,0.015,3,0.01,0.015
raw_label_likelihood,calibration,0.9999995679801056,300,300,0,202,98,0.6733333333333333,0.9851485148514851,0.01485148514851485,3,0.01,0.01485148514851485
raw_label_likelihood,calibration,0.999999448776502,300,300,0,207,93,0.69,0.9758454106280193,0.024154589371980676,5,0.016666666666666666,0.024154589371980676
raw_label_likelihood,calibration,0.9999993295729128,300,300,0,210,90,0.7,0.9761904761904762,0.023809523809523808,5,0.016666666666666666,0.023809523809523808
raw_label_likelihood,calibration,0.9999992103693378,300,300,0,212,88,0.7066666666666667,0.9764150943396226,0.02358490566037736,5,0.016666666666666666,0.02358490566037736
raw_label_likelihood,calibration,0.999999091165777,300,300,0,213,87,0.71,0.971830985915493,0.028169014084507043,6,0.02,0.028169014084507043
raw_label_likelihood,calibration,0.9999989719621736,300,300,0,214,86,0.7133333333333334,0.9719626168224299,0.028037383177570093,6,0.02,0.028037383177570093
raw_label_likelihood,calibration,0.9999987335551229,300,300,0,215,85,0.7166666666666667,0.9720930232558139,0.027906976744186046,6,0.02,0.027906976744186046
raw_label_likelihood,calibration,0.9999984951481292,300,300,0,216,84,0.72,0.9722222222222222,0.027777777777777776,6,0.02,0.027777777777777776
raw_label_likelihood,calibration,0.9999983759447105,300,300,0,217,83,0.7233333333333334,0.9723502304147466,0.027649769585253458,6,0.02,0.027649769585253458
raw_label_likelihood,calibration,0.999997064707474,300,300,0,218,82,0.7266666666666667,0.9678899082568807,0.03211009174311927,7,0.023333333333333334,0.03211009174311927
raw_label_likelihood,calibration,0.9999961110814314,300,300,0,219,81,0.73,0.9634703196347032,0.0365296803652968,8,0.02666666666666667,0.0365296803652968
raw_label_likelihood,calibration,0.9999946806438453,300,300,0,221,79,0.7366666666666667,0.9592760180995475,0.04072398190045249,9,0.03,0.04072398190045249
raw_label_likelihood,calibration,0.9999925349917576,300,300,0,222,78,0.74,0.954954954954955,0.04504504504504504,10,0.03333333333333333,0.04504504504504504
raw_label_likelihood,calibration,0.9999922965859006,300,300,0,223,77,0.7433333333333333,0.9551569506726457,0.04484304932735426,10,0.03333333333333333,0.04484304932735426
raw_label_likelihood,calibration,0.9999920581810099,300,300,0,225,75,0.75,0.9555555555555556,0.044444444444444446,10,0.03333333333333333,0.044444444444444446
raw_label_likelihood,calibration,0.9999897933314713,300,300,0,226,74,0.7533333333333333,0.9557522123893806,0.04424778761061947,10,0.03333333333333333,0.04424778761061947
raw_label_likelihood,calibration,0.9999882437013936,300,300,0,227,73,0.7566666666666667,0.9559471365638766,0.04405286343612335,10,0.03333333333333333,0.04405286343612335
raw_label_likelihood,calibration,0.9999875284879717,300,300,0,228,72,0.76,0.9517543859649122,0.04824561403508772,11,0.03666666666666667,0.04824561403508772
raw_label_likelihood,calibration,0.9999839524294449,300,300,0,229,71,0.7633333333333333,0.9519650655021834,0.048034934497816595,11,0.03666666666666667,0.048034934497816595
raw_label_likelihood,calibration,0.9999832372181827,300,300,0,230,70,0.7666666666666667,0.9521739130434783,0.04782608695652174,11,0.03666666666666667,0.04782608695652174
raw_label_likelihood,calibration,0.9999815683975317,300,300,0,231,69,0.77,0.948051948051948,0.05194805194805195,12,0.04,0.05194805194805195
raw_label_likelihood,calibration,0.9999766811478773,300,300,0,232,68,0.7733333333333333,0.9482758620689655,0.05172413793103448,12,0.04,0.05172413793103448
raw_label_likelihood,calibration,0.9999746547356694,300,300,0,233,67,0.7766666666666666,0.944206008583691,0.055793991416309016,13,0.043333333333333335,0.055793991416309016
raw_label_likelihood,calibration,0.9999645227325883,300,300,0,234,66,0.78,0.9444444444444444,0.05555555555555555,13,0.043333333333333335,0.05555555555555555
raw_label_likelihood,calibration,0.9999415175046573,300,300,0,235,65,0.7833333333333333,0.9446808510638298,0.05531914893617021,13,0.043333333333333335,0.05531914893617021
raw_label_likelihood,calibration,0.9999368688433311,300,300,0,236,64,0.7866666666666666,0.9449152542372882,0.05508474576271186,13,0.043333333333333335,0.05508474576271186
raw_label_likelihood,calibration,0.99991434102598,300,300,0,237,63,0.79,0.9409282700421941,0.05907172995780591,14,0.04666666666666667,0.05907172995780591
raw_label_likelihood,calibration,0.9998522505068683,300,300,0,238,62,0.7933333333333333,0.9411764705882353,0.058823529411764705,14,0.04666666666666667,0.058823529411764705
raw_label_likelihood,calibration,0.9998372368478391,300,300,0,239,61,0.7966666666666666,0.9372384937238494,0.06276150627615062,15,0.05,0.06276150627615062
raw_label_likelihood,calibration,0.9997962419688495,300,300,0,241,59,0.8033333333333333,0.9336099585062241,0.06639004149377593,16,0.05333333333333334,0.06639004149377593
raw_label_likelihood,calibration,0.9997614458648256,300,300,0,242,58,0.8066666666666666,0.9297520661157025,0.07024793388429752,17,0.056666666666666664,0.07024793388429752
raw_label_likelihood,calibration,0.99966459043674,300,300,0,243,57,0.81,0.9259259259259259,0.07407407407407407,18,0.06,0.07407407407407407
raw_label_likelihood,calibration,0.9996028948765476,300,300,0,244,56,0.8133333333333334,0.9221311475409836,0.0778688524590164,19,0.06333333333333334,0.0778688524590164
raw_label_likelihood,calibration,0.9995662063822909,300,300,0,245,55,0.8166666666666667,0.9183673469387755,0.08163265306122448,20,0.06666666666666667,0.08163265306122448
raw_label_likelihood,calibration,0.9995419106919142,300,300,0,246,54,0.82,0.9146341463414634,0.08536585365853659,21,0.07,0.08536585365853659
raw_label_likelihood,calibration,0.9994730815392611,300,300,0,247,53,0.8233333333333334,0.9109311740890689,0.08906882591093117,22,0.07333333333333333,0.08906882591093117
raw_label_likelihood,calibration,0.9994329501699825,300,300,0,248,52,0.8266666666666667,0.907258064516129,0.09274193548387097,23,0.07666666666666666,0.09274193548387097
raw_label_likelihood,calibration,0.9992903233093213,300,300,0,249,51,0.83,0.9036144578313253,0.0963855421686747,24,0.08,0.0963855421686747
raw_label_likelihood,calibration,0.9990885944370145,300,300,0,250,50,0.8333333333333334,0.9,0.1,25,0.08333333333333333,0.1
raw_label_likelihood,calibration,0.9990838415883432,300,300,0,251,49,0.8366666666666667,0.900398406374502,0.099601593625498,25,0.08333333333333333,0.099601593625498
raw_label_likelihood,calibration,0.999030052662209,300,300,0,252,48,0.84,0.8968253968253969,0.10317460317460317,26,0.08666666666666667,0.10317460317460317
raw_label_likelihood,calibration,0.9988258228493234,300,300,0,253,47,0.8433333333333334,0.8972332015810277,0.10276679841897234,26,0.08666666666666667,0.10276679841897234
raw_label_likelihood,calibration,0.9987481724408294,300,300,0,254,46,0.8466666666666667,0.8976377952755905,0.10236220472440945,26,0.08666666666666667,0.10236220472440945
raw_label_likelihood,calibration,0.9983243258040301,300,300,0,255,45,0.85,0.8941176470588236,0.10588235294117647,27,0.09,0.10588235294117647
raw_label_likelihood,calibration,0.9981308204146286,300,300,0,256,44,0.8533333333333334,0.890625,0.109375,28,0.09333333333333334,0.109375
raw_label_likelihood,calibration,0.998073226003552,300,300,0,257,43,0.8566666666666667,0.8910505836575876,0.10894941634241245,28,0.09333333333333334,0.10894941634241245
raw_label_likelihood,calibration,0.9980719173449989,300,300,0,258,42,0.86,0.8914728682170543,0.10852713178294573,28,0.09333333333333334,0.10852713178294573
raw_label_likelihood,calibration,0.9980514832994044,300,300,0,259,41,0.8633333333333333,0.888030888030888,0.11196911196911197,29,0.09666666666666666,0.11196911196911197
raw_label_likelihood,calibration,0.9975274032511579,300,300,0,260,40,0.8666666666666667,0.8884615384615384,0.11153846153846154,29,0.09666666666666666,0.11153846153846154
raw_label_likelihood,calibration,0.9974645370695361,300,300,0,261,39,0.87,0.8888888888888888,0.1111111111111111,29,0.09666666666666666,0.1111111111111111
raw_label_likelihood,calibration,0.9967024939188588,300,300,0,262,38,0.8733333333333333,0.8854961832061069,0.11450381679389313,30,0.1,0.11450381679389313
raw_label_likelihood,calibration,0.9946000473272943,300,300,0,263,37,0.8766666666666667,0.8821292775665399,0.11787072243346007,31,0.10333333333333333,0.11787072243346007
raw_label_likelihood,calibration,0.9941546036485985,300,300,0,264,36,0.88,0.8787878787878788,0.12121212121212122,32,0.10666666666666667,0.12121212121212122
raw_label_likelihood,calibration,0.9932828991117899,300,300,0,265,35,0.8833333333333333,0.879245283018868,0.12075471698113208,32,0.10666666666666667,0.12075471698113208
raw_label_likelihood,calibration,0.9932478489496588,300,300,0,266,34,0.8866666666666667,0.8796992481203008,0.12030075187969924,32,0.10666666666666667,0.12030075187969924
raw_label_likelihood,calibration,0.9913352555062638,300,300,0,267,33,0.89,0.8764044943820225,0.12359550561797752,33,0.11,0.12359550561797752
raw_label_likelihood,calibration,0.9839092766053795,300,300,0,268,32,0.8933333333333333,0.8731343283582089,0.12686567164179105,34,0.11333333333333333,0.12686567164179105
