model,scope,state,cutoff,intended_retained_min,intended_retained_max,intended_total,intended_gate_unknown,family_retained_min,family_retained_max,family_total,family_gate_unknown,unrelated_retained_min,unrelated_retained_max,unrelated_total,unrelated_gate_unknown
qwen3.5:9b,all_crops,original,0.6,11,11,11,0,25,25,25,0,33,33,96,0
qwen3.5:9b,all_crops,original,0.65,11,11,11,0,25,25,25,0,31,31,96,0
qwen3.5:9b,all_crops,original,0.7,11,11,11,0,25,25,25,0,30,30,96,0
qwen3.5:9b,all_crops,original,0.8,11,11,11,0,25,25,25,0,23,23,96,0
qwen3.5:9b,all_crops,original,0.9,11,11,11,0,25,25,25,0,12,12,96,0
qwen3.5:9b,all_crops,original,0.95,11,11,11,0,25,25,25,0,8,8,96,0
qwen3.5:9b,all_crops,original,0.98,7,7,11,0,18,18,25,0,1,1,96,0
qwen3.5:9b,all_crops,original,0.99,1,1,11,0,4,4,25,0,0,0,96,0
qwen3.5:9b,all_crops,original,0.995,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,original,0.999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,original,0.9999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,original,0.99999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,original,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_101,0.6,11,11,11,0,25,25,25,0,28,28,96,0
qwen3.5:9b,all_crops,state_101,0.65,11,11,11,0,25,25,25,0,28,28,96,0
qwen3.5:9b,all_crops,state_101,0.7,11,11,11,0,25,25,25,0,24,24,96,0
qwen3.5:9b,all_crops,state_101,0.8,11,11,11,0,25,25,25,0,20,20,96,0
qwen3.5:9b,all_crops,state_101,0.9,11,11,11,0,24,24,25,0,14,14,96,0
qwen3.5:9b,all_crops,state_101,0.95,10,10,11,0,23,23,25,0,9,9,96,0
qwen3.5:9b,all_crops,state_101,0.98,5,5,11,0,10,10,25,0,1,1,96,0
qwen3.5:9b,all_crops,state_101,0.99,1,1,11,0,3,3,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_101,0.995,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_101,0.999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_101,0.9999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_101,0.99999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_101,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_202,0.6,11,11,11,0,25,25,25,0,29,29,96,0
qwen3.5:9b,all_crops,state_202,0.65,11,11,11,0,25,25,25,0,25,25,96,0
qwen3.5:9b,all_crops,state_202,0.7,11,11,11,0,25,25,25,0,24,24,96,0
qwen3.5:9b,all_crops,state_202,0.8,11,11,11,0,25,25,25,0,21,21,96,0
qwen3.5:9b,all_crops,state_202,0.9,11,11,11,0,25,25,25,0,13,13,96,0
qwen3.5:9b,all_crops,state_202,0.95,9,9,11,0,22,22,25,0,5,5,96,0
qwen3.5:9b,all_crops,state_202,0.98,7,7,11,0,16,16,25,0,1,1,96,0
qwen3.5:9b,all_crops,state_202,0.99,1,1,11,0,4,4,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_202,0.995,0,0,11,0,1,1,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_202,0.999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_202,0.9999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_202,0.99999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_202,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_303,0.6,11,11,11,0,25,25,25,0,32,32,96,0
qwen3.5:9b,all_crops,state_303,0.65,11,11,11,0,25,25,25,0,32,32,96,0
qwen3.5:9b,all_crops,state_303,0.7,11,11,11,0,25,25,25,0,29,29,96,0
qwen3.5:9b,all_crops,state_303,0.8,11,11,11,0,25,25,25,0,23,23,96,0
qwen3.5:9b,all_crops,state_303,0.9,11,11,11,0,25,25,25,0,14,14,96,0
qwen3.5:9b,all_crops,state_303,0.95,10,10,11,0,24,24,25,0,9,9,96,0
qwen3.5:9b,all_crops,state_303,0.98,9,9,11,0,20,20,25,0,2,2,96,0
qwen3.5:9b,all_crops,state_303,0.99,2,2,11,0,3,3,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_303,0.995,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_303,0.999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_303,0.9999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_303,0.99999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,state_303,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,all_crops,all,0.6,44,44,44,0,100,100,100,0,122,122,384,0
qwen3.5:9b,all_crops,all,0.65,44,44,44,0,100,100,100,0,116,116,384,0
qwen3.5:9b,all_crops,all,0.7,44,44,44,0,100,100,100,0,107,107,384,0
qwen3.5:9b,all_crops,all,0.8,44,44,44,0,100,100,100,0,87,87,384,0
qwen3.5:9b,all_crops,all,0.9,44,44,44,0,99,99,100,0,53,53,384,0
qwen3.5:9b,all_crops,all,0.95,40,40,44,0,94,94,100,0,31,31,384,0
qwen3.5:9b,all_crops,all,0.98,28,28,44,0,64,64,100,0,5,5,384,0
qwen3.5:9b,all_crops,all,0.99,5,5,44,0,14,14,100,0,0,0,384,0
qwen3.5:9b,all_crops,all,0.995,0,0,44,0,1,1,100,0,0,0,384,0
qwen3.5:9b,all_crops,all,0.999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:9b,all_crops,all,0.9999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:9b,all_crops,all,0.99999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:9b,all_crops,all,0.999999,0,0,44,0,0,0,100,0,0,0,384,0
qwen3.5:9b,autonomous_depth_only,original,0.6,11,11,11,0,25,25,25,0,33,33,96,0
qwen3.5:9b,autonomous_depth_only,original,0.65,11,11,11,0,25,25,25,0,31,31,96,0
qwen3.5:9b,autonomous_depth_only,original,0.7,11,11,11,0,25,25,25,0,30,30,96,0
qwen3.5:9b,autonomous_depth_only,original,0.8,11,11,11,0,25,25,25,0,23,23,96,0
qwen3.5:9b,autonomous_depth_only,original,0.9,11,11,11,0,25,25,25,0,12,12,96,0
qwen3.5:9b,autonomous_depth_only,original,0.95,11,11,11,0,25,25,25,0,8,8,96,0
qwen3.5:9b,autonomous_depth_only,original,0.98,7,7,11,0,18,18,25,0,1,1,96,0
qwen3.5:9b,autonomous_depth_only,original,0.99,1,1,11,0,4,4,25,0,0,0,96,0
qwen3.5:9b,autonomous_depth_only,original,0.995,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,autonomous_depth_only,original,0.999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,autonomous_depth_only,original,0.9999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,autonomous_depth_only,original,0.99999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,autonomous_depth_only,original,0.999999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,autonomous_depth_only,state_101,0.6,10,10,10,0,24,24,24,0,26,26,86,0
qwen3.5:9b,autonomous_depth_only,state_101,0.65,10,10,10,0,24,24,24,0,26,26,86,0
qwen3.5:9b,autonomous_depth_only,state_101,0.7,10,10,10,0,24,24,24,0,22,22,86,0
qwen3.5:9b,autonomous_depth_only,state_101,0.8,10,10,10,0,24,24,24,0,18,18,86,0
qwen3.5:9b,autonomous_depth_only,state_101,0.9,10,10,10,0,23,23,24,0,12,12,86,0
qwen3.5:9b,autonomous_depth_only,state_101,0.95,9,9,10,0,22,22,24,0,7,7,86,0
qwen3.5:9b,autonomous_depth_only,state_101,0.98,4,4,10,0,9,9,24,0,0,0,86,0
qwen3.5:9b,autonomous_depth_only,state_101,0.99,1,1,10,0,3,3,24,0,0,0,86,0
qwen3.5:9b,autonomous_depth_only,state_101,0.995,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:9b,autonomous_depth_only,state_101,0.999,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:9b,autonomous_depth_only,state_101,0.9999,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:9b,autonomous_depth_only,state_101,0.99999,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:9b,autonomous_depth_only,state_101,0.999999,0,0,10,0,0,0,24,0,0,0,86,0
qwen3.5:9b,autonomous_depth_only,state_202,0.6,11,11,11,0,25,25,25,0,29,29,96,0
qwen3.5:9b,autonomous_depth_only,state_202,0.65,11,11,11,0,25,25,25,0,25,25,96,0
qwen3.5:9b,autonomous_depth_only,state_202,0.7,11,11,11,0,25,25,25,0,24,24,96,0
qwen3.5:9b,autonomous_depth_only,state_202,0.8,11,11,11,0,25,25,25,0,21,21,96,0
qwen3.5:9b,autonomous_depth_only,state_202,0.9,11,11,11,0,25,25,25,0,13,13,96,0
qwen3.5:9b,autonomous_depth_only,state_202,0.95,9,9,11,0,22,22,25,0,5,5,96,0
qwen3.5:9b,autonomous_depth_only,state_202,0.98,7,7,11,0,16,16,25,0,1,1,96,0
qwen3.5:9b,autonomous_depth_only,state_202,0.99,1,1,11,0,4,4,25,0,0,0,96,0
qwen3.5:9b,autonomous_depth_only,state_202,0.995,0,0,11,0,1,1,25,0,0,0,96,0
qwen3.5:9b,autonomous_depth_only,state_202,0.999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,autonomous_depth_only,state_202,0.9999,0,0,11,0,0,0,25,0,0,0,96,0
qwen3.5:9b,autonomous_depth_only,state_202,0.99999,0,0,11,0,0,0,25,0,0,0,96,0
