target,target_name,mean_intended_lower,mean_intended_upper,max_unrelated_upper,intended_retained_min_0.6,intended_retained_min_0.65,intended_retained_min_0.7,intended_retained_min_0.8,intended_retained_min_0.9,intended_retained_min_0.95,intended_retained_min_0.98,intended_retained_min_0.99,intended_retained_min_0.995,intended_retained_min_0.999,intended_retained_min_0.9999,intended_retained_min_0.99999,intended_retained_min_0.999999,intended_retained_max_0.6,intended_retained_max_0.65,intended_retained_max_0.7,intended_retained_max_0.8,intended_retained_max_0.9,intended_retained_max_0.95,intended_retained_max_0.98,intended_retained_max_0.99,intended_retained_max_0.995,intended_retained_max_0.999,intended_retained_max_0.9999,intended_retained_max_0.99999,intended_retained_max_0.999999
Gear_Large,Large gear,0.9795130643321055,0.9795130643321055,0.9775283937483789,4,4,4,4,4,4,1,0,0,0,0,0,0,4,4,4,4,4,4,1,0,0,0,0,0,0
Gear_Medium,Medium gear,0.9900220780952721,0.9900220780952721,0.9781398764312801,4,4,4,4,4,4,4,3,0,0,0,0,0,4,4,4,4,4,4,4,3,0,0,0,0,0
Gear_Small,Small gear,0.9741691490205958,0.9741691490205958,0.9823566667238991,4,4,4,4,4,3,3,1,0,0,0,0,0,4,4,4,4,4,3,3,1,0,0,0,0,0
Waterproof_Male,Waterproof connector,0.9851109980207146,0.9851109980207146,0.9892656799175347,4,4,4,4,4,4,3,0,0,0,0,0,0,4,4,4,4,4,4,3,0,0,0,0,0,0
M12_Hex_Nut,M12 hex nut,0.9436624946438417,0.9436624946438417,0.17182307690910373,4,4,4,4,4,2,0,0,0,0,0,0,0,4,4,4,4,4,2,0,0,0,0,0,0,0
M16_Hex_Nut,M16 hex nut,0.9708725809017934,0.9708725809017934,0.13899979592390355,4,4,4,4,4,3,2,0,0,0,0,0,0,4,4,4,4,4,3,2,0,0,0,0,0,0
RGOCG16-50_16mm,16 mm round pin,0.9820850195418767,0.9820850195418767,0.9336845872123968,4,4,4,4,4,4,3,0,0,0,0,0,0,4,4,4,4,4,4,3,0,0,0,0,0,0
RGOCG12-50_12mm,12 mm round pin,0.9761814321986507,0.9761814321986507,0.9392806268038686,4,4,4,4,4,4,2,0,0,0,0,0,0,4,4,4,4,4,4,2,0,0,0,0,0,0
RGOCG8-50_8mm,8 mm round pin,0.9879244418855878,0.9879244418855878,0.9303584078914573,4,4,4,4,4,4,4,1,0,0,0,0,0,4,4,4,4,4,4,4,1,0,0,0,0,0
USB_Male,USB connector + cable,0.9843504726829538,0.9843504726829538,0.4040168006153569,4,4,4,4,4,4,3,0,0,0,0,0,0,4,4,4,4,4,4,3,0,0,0,0,0,0
DSUB_Male,DSUB connector,0.984094560397473,0.984094560397473,0.9800379267304664,4,4,4,4,4,4,3,0,0,0,0,0,0,4,4,4,4,4,4,3,0,0,0,0,0,0
