condition,accepted_count,coverage,human_intervention_rate,old_threshold,new_threshold,old_accuracy,new_accuracy,old_false_accepts,new_false_accepts,old_false_accept_rate_all,new_false_accept_rate_all,old_false_accept_rate_accepted,new_false_accept_rate_accepted
label_then_evidence,8,0.8,0.19999999999999996,1.0,0.9997948118226208,1.0,1.0,0,0,0.0,0.0,0.0,0.0
label_then_evidence,9,0.9,0.09999999999999998,0.9379490679261255,0.9984987679933719,1.0,1.0,0,0,0.0,0.0,0.0,0.0
label_then_evidence,10,1.0,0.0,0.8165516178270771,0.5615648059387539,0.9,0.9,1,1,0.1,0.1,0.1,0.1
evidence_then_label,10,1.0,0.0,0.8165516178270771,1.0,0.9,0.7,1,3,0.1,0.3,0.1,0.3
