run,target_description,cad_id,object_id,observed_identity,ground_truth_pair,selected,fused_rank,visual_raw,visual_normalized,ransac_inlier_ratio,registration_fitness,observed_to_cad_rmse_m,inlier_rmse_m,correspondence_count,geometry_normalized,fused_score,scene_feature_cache_hit,crop_time_s,dino_batch_share_time_s,fpfh_feature_time_s,visual_comparison_time_s,geometric_matching_time_s,fusion_time_s,accounted_time_s
gray_gpu,large white gear,Gear_Large,object_002,Gear_Large,True,True,1,0.7485926059906215,0.8742963029953108,0.7252747252747253,0.9945054945054945,0.003252540304541999,0.0029708623623326685,181,0.9945054945054945,0.9344008987504027,False,7.938999999623775e-06,0.0040088133333332126,0.006731613999988895,8.86039999983268e-05,0.011097864000007007,1.0774000003266337e-05,0.02194560833333033
gray_gpu,large white gear,Gear_Large,object_005,Gear_Medium,False,False,2,0.5691720621471494,0.7845860310735747,1.0,1.0,0.003479450162197766,0.003341949790051596,118,1.0,0.8922930155367874,False,4.9410000002581e-06,0.0040088133333332126,0.003866364999993266,8.824300000753738e-05,0.01265192300000706,5.479000009245283e-06,0.020625764333350578
gray_gpu,large white gear,Gear_Large,object_006,KET16_Square_16mm,False,False,3,0.38143124778228255,0.6907156238911413,1.0,1.0,0.0025112651404345645,0.0021104475557683577,43,1.0,0.8453578119455707,False,1.07430000042541e-05,0.0040088133333332126,0.002441364000006274,6.796599998892816e-05,0.0016222600000048715,7.10099999423619e-06,0.008158247333331776
gray_gpu,large white gear,Gear_Large,object_003,blue_block,False,False,4,0.52970562550308,0.7648528127515399,0.816793893129771,0.8473282442748091,0.005150449813265441,0.0031221680989103164,111,0.8473282442748091,0.8060905285131745,False,5.540999993058904e-06,0.0040088133333332126,0.004156156999997052,9.159600000430146e-05,0.006445089999999709,7.43199998964883e-06,0.014714629333316982
gray_gpu,large white gear,Gear_Large,object_004,red_block,False,False,5,0.475604823337411,0.7378024116687055,0.8283582089552238,0.835820895522388,0.005306044756848973,0.002399752772352703,112,0.835820895522388,0.7868116535955467,False,4.915999994636877e-06,0.0040088133333332126,0.004115236000004074,7.624399999883735e-05,0.00904632300000685,5.903000001694636e-06,0.017257435333339306
gray_gpu,large white gear,Gear_Large,object_001,pulley,False,False,6,0.5791968727861334,0.7895984363930667,0.0,0.0,,,0,0.0,0.39479921819653335,False,9.360999996488317e-06,0.0040088133333332126,0.004910731000009605,0.00011935099999504928,0.006638402999996629,4.4263000006594666e-05,0.015730922333337578
gray_gpu,medium white gear,Gear_Medium,object_005,Gear_Medium,True,True,1,0.5661034346980223,0.7830517173490111,1.0,1.0,0.0024826140986729324,0.002243014346867005,118,1.0,0.8915258586745056,True,0.0,0.0,0.0,7.38369999879751e-05,0.0035165640000087706,3.898999992202334e-06,0.003594299999988948
gray_gpu,medium white gear,Gear_Medium,object_004,red_block,False,False,2,0.4812642308272326,0.7406321154136163,0.7089552238805971,0.9477611940298507,0.004209120431022157,0.0036075333320506288,127,0.9477611940298507,0.8441966547217334,True,0.0,0.0,0.0,7.068899999751466e-05,0.01100378199998886,4.341000007457296e-06,0.011078811999993832
gray_gpu,medium white gear,Gear_Medium,object_006,KET16_Square_16mm,False,False,3,0.3567579387495359,0.6783789693747679,1.0,1.0,0.0032228068778415945,0.0028933332891349457,43,1.0,0.839189484687384,True,0.0,0.0,0.0,8.084099999905447e-05,0.0008959590000046092,4.4010000124217186e-06,0.0009812010000160853
gray_gpu,medium white gear,Gear_Medium,object_003,blue_block,False,False,4,0.5483524090028058,0.7741762045014029,0.648854961832061,0.9007633587786259,0.0048012550115194095,0.0034260103797110614,118,0.9007633587786259,0.8374697816400144,True,0.0,0.0,0.0,9.863500000051317e-05,0.002834143000001177,5.4099999999834836e-06,0.0029381880000016736
gray_gpu,medium white gear,Gear_Medium,object_002,Gear_Large,False,False,5,0.7482834217097208,0.8741417108548604,0.6043956043956044,0.7032967032967034,0.008131469248496628,0.003434935420190143,128,0.7032967032967034,0.7887192070757818,True,0.0,0.0,0.0,9.38069999989466e-05,0.011888636000009,1.2725000004820686e-05,0.011995168000012768
gray_gpu,medium white gear,Gear_Medium,object_001,pulley,False,False,6,0.5497207601502015,0.7748603800751008,0.5733333333333334,0.6533333333333333,0.008736517253387342,0.0032003475745881,98,0.6533333333333333,0.7140968567042171,True,0.0,0.0,0.0,0.00013566799999864543,0.007616007999999397,2.2564999994756363e-05,0.007774240999992799
gray_gpu,rectangular pin,KET16_Square_16mm,object_003,blue_block,False,True,1,0.5311979191123265,0.7655989595561632,0.3969465648854962,0.549618320610687,0.010319381064478127,0.0037020617597210413,72,0.549618320610687,0.6576086400834251,True,0.0,0.0,0.0,8.154399999682482e-05,0.009545074000001819,4.253000000176144e-06,0.00963087099999882
gray_gpu,rectangular pin,KET16_Square_16mm,object_005,Gear_Medium,False,False,2,0.04652879658104825,0.5232643982905241,0.6271186440677966,0.7627118644067796,0.006406339702321476,0.003746391130943272,90,0.7627118644067796,0.6429881313486518,True,0.0,0.0,0.0,0.0001102339999903279,0.003330226999992192,3.860999996163628e-06,0.0034443219999786834
