model,scope,baseline_auc_lower,baseline_auc_upper,revised_auc_lower,revised_auc_upper,auc_change_lower,auc_change_upper,baseline_family_C_count,revised_family_C_count,baseline_unrelated_C_count,revised_unrelated_C_count
qwen3.5:4b,all_crops,0.9771354166666667,0.9771354166666667,0.986171875,0.986171875,0.00903645833333333,0.00903645833333333,6,0,319,303
qwen3.5:4b,autonomous_depth_only,0.9811897286387082,0.9811897286387082,0.9861516034985423,0.9861516034985423,0.0049618748598340146,0.0049618748598340146,6,0,312,290
qwen3.5:9b,all_crops,0.9780989583333334,0.9780989583333334,0.992734375,0.992734375,0.014635416666666567,0.014635416666666567,0,0,40,186
qwen3.5:9b,autonomous_depth_only,0.9788349405696345,0.9788349405696345,0.9924871047320027,0.9924871047320027,0.013652164162368252,0.013652164162368252,0,0,40,184
gemma4:12b,all_crops,0.9720442708333333,0.9720442708333333,0.9955208333333333,0.9955208333333333,0.023476562499999964,0.023476562499999964,0,0,0,52
gemma4:12b,autonomous_depth_only,0.9709716304104059,0.9709716304104059,0.9961314196008073,0.9961314196008073,0.025159789190401405,0.025159789190401405,0,0,0,52
