condition,model,scope,state,target_family,comparisons,family_pairs,unrelated_pairs,family_vs_unrelated_auc_lower,family_vs_unrelated_auc_upper,missing_exact_p_A,all_count,all_C_count,all_C_frequency,all_mean_p_A_lower,all_mean_p_A_upper,all_mean_p_C_lower,all_mean_p_C_upper,family_count,family_C_count,family_C_frequency,family_mean_p_A_lower,family_mean_p_A_upper,family_mean_p_C_lower,family_mean_p_C_upper,unrelated_count,unrelated_C_count,unrelated_C_frequency,unrelated_mean_p_A_lower,unrelated_mean_p_A_upper,unrelated_mean_p_C_lower,unrelated_mean_p_C_upper,own_count,own_C_count,own_C_frequency,own_mean_p_A_lower,own_mean_p_A_upper,own_mean_p_C_lower,own_mean_p_C_upper
baseline,qwen3.5:4b,all_crops,state_101,USB_Male,11,1,10,1.0,1.0,0,11,10,0.9090909090909091,0.17891301722061248,0.17891301722061248,0.6770094011051705,0.6770094011051705,1,0,0.0,0.9069645979948108,0.9069645979948108,0.0352193896929818,0.0352193896929818,10,10,1.0,0.10610785914319262,0.10610785914319262,0.7411884022463895,0.7411884022463895,1,0,0.0,0.9069645979948108,0.9069645979948108,0.0352193896929818,0.0352193896929818
baseline,qwen3.5:4b,all_crops,state_101,DSUB_Male,11,1,10,0.9,0.9,0,11,7,0.6363636363636364,0.2682851990749309,0.2682851990749309,0.5375920361658958,0.5375920361658958,1,0,0.0,0.7251843899942628,0.7251843899942628,0.1330154018907818,0.1330154018907818,10,7,0.7,0.22259527998299772,0.22259527998299772,0.5780496995934072,0.5780496995934072,1,0,0.0,0.7251843899942628,0.7251843899942628,0.1330154018907818,0.1330154018907818
baseline,qwen3.5:4b,all_crops,state_202,gear,33,9,24,0.9953703703703703,0.9953703703703703,0,33,18,0.5454545454545454,0.33472680291287826,0.33472680291287826,0.4649888934927455,0.4649888934927455,9,0,0.0,0.731919274909052,0.731919274909052,0.12942449366938236,0.12942449366938236,24,18,0.75,0.1857796259143131,0.1857796259143131,0.5908255434265067,0.5908255434265067,3,0,0.0,0.7478140407271606,0.7478140407271606,0.13137064651244287,0.13137064651244287
baseline,qwen3.5:4b,all_crops,state_202,hex_nut,22,4,18,1.0,1.0,0,22,17,0.7727272727272727,0.21015246995501677,0.21015246995501677,0.5984730588253142,0.5984730588253142,4,0,0.0,0.6950025849153061,0.6950025849153061,0.2095877745014127,0.2095877745014127,18,17,0.9444444444444444,0.10240799996384141,0.10240799996384141,0.6848920108972923,0.6848920108972923,2,0,0.0,0.662664496371989,0.662664496371989,0.23788088038500474,0.23788088038500474
baseline,qwen3.5:4b,all_crops,state_202,round_pin,33,9,24,1.0,1.0,0,33,20,0.6060606060606061,0.3626348965844024,0.3626348965844024,0.4373791220688373,0.4373791220688373,9,0,0.0,0.7778801810164071,0.7778801810164071,0.17494535537970637,0.17494535537970637,24,20,0.8333333333333334,0.20691791492240075,0.20691791492240075,0.5357917845772614,0.5357917845772614,3,0,0.0,0.7700049495928877,0.7700049495928877,0.18333751219816893,0.18333751219816893
baseline,qwen3.5:4b,all_crops,state_202,Waterproof_Male,11,1,10,0.9,0.9,0,11,6,0.5454545454545454,0.33678898862542755,0.33678898862542755,0.46607902897490106,0.46607902897490106,1,0,0.0,0.6959017021453745,0.6959017021453745,0.17577639814350243,0.17577639814350243,10,6,0.6,0.3008777172734329,0.3008777172734329,0.49510929205804094,0.49510929205804094,1,0,0.0,0.6959017021453745,0.6959017021453745,0.17577639814350243,0.17577639814350243
baseline,qwen3.5:4b,all_crops,state_202,USB_Male,11,1,10,1.0,1.0,0,11,10,0.9090909090909091,0.18156151037298363,0.18156151037298363,0.6802693001210819,0.6802693001210819,1,0,0.0,0.889730987512076,0.889730987512076,0.04887341036356972,0.04887341036356972,10,10,1.0,0.11074456265907437,0.11074456265907437,0.7434088890968331,0.7434088890968331,1,0,0.0,0.889730987512076,0.889730987512076,0.04887341036356972,0.04887341036356972
baseline,qwen3.5:4b,all_crops,state_202,DSUB_Male,11,1,10,1.0,1.0,0,11,9,0.8181818181818182,0.27448767397635887,0.27448767397635887,0.5688407946051477,0.5688407946051477,1,0,0.0,0.829964582890229,0.829964582890229,0.07849254364379638,0.07849254364379638,10,9,0.9,0.21893998308497187,0.21893998308497187,0.6178756197012828,0.6178756197012828,1,0,0.0,0.829964582890229,0.829964582890229,0.07849254364379638,0.07849254364379638
baseline,qwen3.5:4b,all_crops,state_303,gear,33,9,24,1.0,1.0,0,33,18,0.5454545454545454,0.3056207511580659,0.3056207511580659,0.5074261662894244,0.5074261662894244,9,0,0.0,0.7310640690514268,0.7310640690514268,0.14851489687160294,0.14851489687160294,24,18,0.75,0.14607950694805563,0.14607950694805563,0.6420178923211074,0.6420178923211074,3,0,0.0,0.7261678592416182,0.7261678592416182,0.1511558598039037,0.1511558598039037
baseline,qwen3.5:4b,all_crops,state_303,hex_nut,22,4,18,1.0,1.0,0,22,19,0.8636363636363636,0.14556301501215282,0.14556301501215282,0.6398504928767639,0.6398504928767639,4,3,0.75,0.41960123523338866,0.41960123523338866,0.48485171841025565,0.48485171841025565,18,16,0.8888888888888888,0.08466563274076705,0.08466563274076705,0.6742946649804324,0.6742946649804324,2,2,1.0,0.38283029467880636,0.38283029467880636,0.5347761355130942,0.5347761355130942
baseline,qwen3.5:4b,all_crops,state_303,round_pin,33,9,24,1.0,1.0,0,33,17,0.5151515151515151,0.3905099136186569,0.3905099136186569,0.4172122300807468,0.4172122300807468,9,0,0.0,0.7684604294425651,0.7684604294425651,0.1774912088208866,0.1774912088208866,24,17,0.7083333333333334,0.24877847018469126,0.24877847018469126,0.5071076130531945,0.5071076130531945,3,0,0.0,0.7474977331031344,0.7474977331031344,0.19861561809478012,0.19861561809478012
baseline,qwen3.5:4b,all_crops,state_303,Waterproof_Male,11,1,10,0.9,0.9,0,11,5,0.45454545454545453,0.34914211033677683,0.34914211033677683,0.46781494050393807,0.46781494050393807,1,0,0.0,0.7909752104943765,0.7909752104943765,0.09018341151094333,0.09018341151094333,10,5,0.5,0.30495880032101685,0.30495880032101685,0.5055780934032376,0.5055780934032376,1,0,0.0,0.7909752104943765,0.7909752104943765,0.09018341151094333,0.09018341151094333
baseline,qwen3.5:4b,all_crops,state_303,USB_Male,11,1,10,1.0,1.0,0,11,10,0.9090909090909091,0.1950118770441377,0.1950118770441377,0.6758063881274965,0.6758063881274965,1,0,0.0,0.9329738626041588,0.9329738626041588,0.027601688773259487,0.027601688773259487,10,10,1.0,0.12121567848813557,0.12121567848813557,0.7406268580629203,0.7406268580629203,1,0,0.0,0.9329738626041588,0.9329738626041588,0.027601688773259487,0.027601688773259487
baseline,qwen3.5:4b,all_crops,state_303,DSUB_Male,11,1,10,1.0,1.0,0,11,9,0.8181818181818182,0.29924144894396393,0.29924144894396393,0.5456946105730917,0.5456946105730917,1,0,0.0,0.863619744678796,0.863619744678796,0.06908276049823155,0.06908276049823155,10,9,0.9,0.24280361937048073,0.24280361937048073,0.5933557955805776,0.5933557955805776,1,0,0.0,0.863619744678796,0.863619744678796,0.06908276049823155,0.06908276049823155
baseline,qwen3.5:4b,all_crops,all,gear,132,36,96,0.9913194444444444,0.9913194444444444,0,132,76,0.5757575757575758,0.320460817496944,0.320460817496944,0.5067571196937701,0.5067571196937701,36,0,0.0,0.7432732907218927,0.7432732907218927,0.13593076098849394,0.13593076098849394,96,76,0.7916666666666666,0.1619061400375883,0.1619061400375883,0.6458170042082488,0.6458170042082488,12,0,0.0,0.7541193460251546,0.7541193460251546,0.1313292903788725,0.1313292903788725
baseline,qwen3.5:4b,all_crops,all,hex_nut,88,16,72,0.9973958333333334,0.9973958333333334,0,88,73,0.8295454545454546,0.1752499306856292,0.1752499306856292,0.6239241620677785,0.6239241620677785,16,6,0.375,0.5287561682058574,0.5287561682058574,0.3885428986711317,0.3885428986711317,72,67,0.9305555555555556,0.09669298901446735,0.09669298901446735,0.6762311094892556,0.6762311094892556,8,3,0.375,0.5261536493066786,0.5261536493066786,0.39093344055308865,0.39093344055308865
