condition,model,scope,state,target_family,threshold,family_total,family_retained_lower,family_retained_upper,family_rate_lower,family_rate_upper,unrelated_total,unrelated_retained_lower,unrelated_retained_upper,unrelated_rate_lower,unrelated_rate_upper,own_total,own_retained_lower,own_retained_upper,own_rate_lower,own_rate_upper
baseline,qwen3.5:4b,all_crops,original,round_pin,0.97,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,round_pin,0.98,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,round_pin,0.99,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,round_pin,0.995,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,round_pin,0.999,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,round_pin,0.9999,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,round_pin,0.99999,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,round_pin,0.999999,9,0,0,0.0,0.0,24,0,0,0.0,0.0,3,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.4,1,1,1,1.0,1.0,10,3,3,0.3,0.3,1,1,1,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.5,1,1,1,1.0,1.0,10,2,2,0.2,0.2,1,1,1,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.6,1,1,1,1.0,1.0,10,1,1,0.1,0.1,1,1,1,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.65,1,1,1,1.0,1.0,10,1,1,0.1,0.1,1,1,1,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.7,1,1,1,1.0,1.0,10,1,1,0.1,0.1,1,1,1,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.8,1,1,1,1.0,1.0,10,0,0,0.0,0.0,1,1,1,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.9,1,0,0,0.0,0.0,10,0,0,0.0,0.0,1,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.95,1,0,0,0.0,0.0,10,0,0,0.0,0.0,1,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.97,1,0,0,0.0,0.0,10,0,0,0.0,0.0,1,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.98,1,0,0,0.0,0.0,10,0,0,0.0,0.0,1,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.99,1,0,0,0.0,0.0,10,0,0,0.0,0.0,1,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.995,1,0,0,0.0,0.0,10,0,0,0.0,0.0,1,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.999,1,0,0,0.0,0.0,10,0,0,0.0,0.0,1,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.9999,1,0,0,0.0,0.0,10,0,0,0.0,0.0,1,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.99999,1,0,0,0.0,0.0,10,0,0,0.0,0.0,1,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,Waterproof_Male,0.999999,1,0,0,0.0,0.0,10,0,0,0.0,0.0,1,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,USB_Male,0.4,1,1,1,1.0,1.0,10,1,1,0.1,0.1,1,1,1,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,USB_Male,0.5,1,1,1,1.0,1.0,10,0,0,0.0,0.0,1,1,1,1.0,1.0
baseline,qwen3.5:4b,all_crops,original,USB_Male,0.6,1,1,1,1.0,1.0,10,0,0,0.0,0.0,1,1,1,1.0,1.0
