cohort,model,condition,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
additional_objects,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9999998063873693,12,12,0,10,2,0.8333333333333334,1.0,0.0,0,0.0,0.0
additional_objects,gpt-4.1-mini-2025-04-14,label_then_evidence,0.999999091165777,12,12,0,11,1,0.9166666666666666,1.0,0.0,0,0.0,0.0
additional_objects,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9992903233093213,12,12,0,12,0,1.0,1.0,0.0,0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11,label_only,1.0,12,8,4,1,11,0.08333333333333333,1.0,0.0,0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11,label_only,0.9999961853100103,12,8,4,2,10,0.16666666666666666,1.0,0.0,0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11,label_only,0.9999847413273523,12,8,4,3,9,0.25,1.0,0.0,0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11,label_only,0.9999771120783387,12,8,4,4,8,0.3333333333333333,1.0,0.0,0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11,label_only,0.9999465956643435,12,8,4,5,7,0.4166666666666667,1.0,0.0,0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11,label_only,0.9999389667063573,12,8,4,7,5,0.5833333333333334,1.0,0.0,0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11,label_only,0.9947229875004666,12,8,4,8,4,0.6666666666666666,1.0,0.0,0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11,label_then_evidence,0.9999961853100103,12,5,7,1,11,0.08333333333333333,1.0,0.0,0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11,label_then_evidence,0.9999885559736865,12,5,7,2,10,0.16666666666666666,1.0,0.0,0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11,label_then_evidence,0.9999809266955697,12,5,7,3,9,0.25,1.0,0.0,0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11,label_then_evidence,0.9999771120783387,12,5,7,4,8,0.3333333333333333,1.0,0.0,0,0.0,0.0
additional_objects,gpt-5.2-2025-12-11,label_then_evidence,0.9999389667063573,12,5,7,5,7,0.4166666666666667,1.0,0.0,0,0.0,0.0
pooled,gpt-4.1-mini-2025-04-14,label_only,1.0,32,32,0,23,9,0.71875,0.9565217391304348,0.043478260869565216,1,0.03125,0.043478260869565216
pooled,gpt-4.1-mini-2025-04-14,label_only,0.9999998063873693,32,32,0,24,8,0.75,0.9583333333333334,0.041666666666666664,1,0.03125,0.041666666666666664
pooled,gpt-4.1-mini-2025-04-14,label_only,0.9999996871837232,32,32,0,26,6,0.8125,0.9230769230769231,0.07692307692307693,2,0.0625,0.07692307692307693
pooled,gpt-4.1-mini-2025-04-14,label_only,0.9999995679801056,32,32,0,27,5,0.84375,0.9259259259259259,0.07407407407407407,2,0.0625,0.07407407407407407
pooled,gpt-4.1-mini-2025-04-14,label_only,0.9999987335551229,32,32,0,28,4,0.875,0.9285714285714286,0.07142857142857142,2,0.0625,0.07142857142857142
pooled,gpt-4.1-mini-2025-04-14,label_only,0.9999920581810099,32,32,0,29,3,0.90625,0.9310344827586207,0.06896551724137931,2,0.0625,0.06896551724137931
pooled,gpt-4.1-mini-2025-04-14,label_only,0.9987995393411512,32,32,0,30,2,0.9375,0.9333333333333333,0.06666666666666667,2,0.0625,0.06666666666666667
pooled,gpt-4.1-mini-2025-04-14,label_only,0.9984987679933719,32,32,0,31,1,0.96875,0.9032258064516129,0.0967741935483871,3,0.09375,0.0967741935483871
pooled,gpt-4.1-mini-2025-04-14,label_only,0.9980728690648153,32,32,0,32,0,1.0,0.90625,0.09375,3,0.09375,0.09375
pooled,gpt-4.1-mini-2025-04-14,label_then_evidence,1.0,32,32,0,21,11,0.65625,0.9523809523809523,0.047619047619047616,1,0.03125,0.047619047619047616
pooled,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9999998063873693,32,32,0,23,9,0.71875,0.9565217391304348,0.043478260869565216,1,0.03125,0.043478260869565216
pooled,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9999996871837232,32,32,0,24,8,0.75,0.9583333333333334,0.041666666666666664,1,0.03125,0.041666666666666664
pooled,gpt-4.1-mini-2025-04-14,label_then_evidence,0.999999091165777,32,32,0,25,7,0.78125,0.96,0.04,1,0.03125,0.04
pooled,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9999988527586979,32,32,0,26,6,0.8125,0.9615384615384616,0.038461538461538464,1,0.03125,0.038461538461538464
pooled,gpt-4.1-mini-2025-04-14,label_then_evidence,0.999997064707474,32,32,0,27,5,0.84375,0.9629629629629629,0.037037037037037035,1,0.03125,0.037037037037037035
pooled,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9999038520641101,32,32,0,28,4,0.875,0.9285714285714286,0.07142857142857142,2,0.0625,0.07142857142857142
pooled,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9992903233093213,32,32,0,29,3,0.90625,0.9310344827586207,0.06896551724137931,2,0.0625,0.06896551724137931
pooled,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9975274032511579,32,32,0,30,2,0.9375,0.9333333333333333,0.06666666666666667,2,0.0625,0.06666666666666667
pooled,gpt-4.1-mini-2025-04-14,label_then_evidence,0.9731362031783409,32,32,0,31,1,0.96875,0.9354838709677419,0.06451612903225806,2,0.0625,0.06451612903225806
pooled,gpt-4.1-mini-2025-04-14,label_then_evidence,0.4563314701779981,32,32,0,32,0,1.0,0.90625,0.09375,3,0.09375,0.09375
pooled,gpt-5.2-2025-12-11,label_only,1.0,32,17,15,2,30,0.0625,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_only,0.9999961853100103,32,17,15,5,27,0.15625,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_only,0.9999847413273523,32,17,15,6,26,0.1875,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_only,0.9999771120783387,32,17,15,7,25,0.21875,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_only,0.9999580392104567,32,17,15,8,24,0.25,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_only,0.9999465956643435,32,17,15,9,23,0.28125,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_only,0.9999389667063573,32,17,15,11,21,0.34375,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_only,0.9999084514564487,32,17,15,12,20,0.375,0.9166666666666666,0.08333333333333333,1,0.03125,0.08333333333333333
pooled,gpt-5.2-2025-12-11,label_only,0.9997673305385353,32,17,15,13,19,0.40625,0.9230769230769231,0.07692307692307693,1,0.03125,0.07692307692307693
pooled,gpt-5.2-2025-12-11,label_only,0.999450834440385,32,17,15,14,18,0.4375,0.9285714285714286,0.07142857142857142,1,0.03125,0.07142857142857142
pooled,gpt-5.2-2025-12-11,label_only,0.9992983419803216,32,17,15,15,17,0.46875,0.9333333333333333,0.06666666666666667,1,0.03125,0.06666666666666667
pooled,gpt-5.2-2025-12-11,label_only,0.9947229875004666,32,17,15,16,16,0.5,0.9375,0.0625,1,0.03125,0.0625
pooled,gpt-5.2-2025-12-11,label_only,0.9769058277839734,32,17,15,17,15,0.53125,0.8823529411764706,0.11764705882352941,2,0.0625,0.11764705882352941
pooled,gpt-5.2-2025-12-11,label_then_evidence,1.0,32,20,12,1,31,0.03125,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.9999961853100103,32,20,12,3,29,0.09375,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.9999885559736865,32,20,12,4,28,0.125,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.9999847413273523,32,20,12,6,26,0.1875,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.9999809266955697,32,20,12,7,25,0.21875,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.9999771120783387,32,20,12,8,24,0.25,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.9999656683139552,32,20,12,10,22,0.3125,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.9999580392104567,32,20,12,11,21,0.34375,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.9999389667063573,32,20,12,14,18,0.4375,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.9947153983952958,32,20,12,15,17,0.46875,1.0,0.0,0,0.0,0.0
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.9932669404503173,32,20,12,16,16,0.5,0.9375,0.0625,1,0.03125,0.0625
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.9927669166778835,32,20,12,17,15,0.53125,0.9411764705882353,0.058823529411764705,1,0.03125,0.058823529411764705
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.9890021164487924,32,20,12,18,14,0.5625,0.9444444444444444,0.05555555555555555,1,0.03125,0.05555555555555555
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.9820508571431787,32,20,12,19,13,0.59375,0.9473684210526315,0.05263157894736842,1,0.03125,0.05263157894736842
pooled,gpt-5.2-2025-12-11,label_then_evidence,0.8927258005064531,32,20,12,20,12,0.625,0.95,0.05,1,0.03125,0.05
